,word,n,avg_rating,avg_stdev,modifier
267,attempt,12,1.333333333,0.887625365,-1
268,breaks,12,4.583333333,0.900336637,1
269,class,12,4.666666667,0.651338947,1
270,cord,12,4.916666667,0.288675135,1
271,dope,12,4.916666667,0.288675135,1
272,efficient,12,4.416666667,0.900336637,0
273,era,12,4.833333333,0.577350269,1
274,excelent,12,4.666666667,0.492365964,1
275,expand,12,4.666666667,0.492365964,1
277,interesting,12,4.666666667,0.651338947,1
279,pleasant,12,4,0.953462589,0
281,restarts,12,2,0.953462589,-1
282,rockin,12,4.666666667,0.887625365,1
283,superior,12,4.5,0.674199862,1
284,tailor,12,4.666666667,0.492365964,1
285,uninstalling,12,1.5,0.797724035,-1
286,xbox,12,4.666666667,0.651338947,1
287,adore,11,4.818181818,0.603022689,1
288,affordable,11,4.909090909,0.301511345,1
289,ass,11,4.636363636,0.809039835,1
290,blessing,11,4.909090909,0.301511345,1
291,boom,11,4.545454545,0.820199532,1
292,deserves,11,4.727272727,0.646669791,1
293,diversity,11,4.545454545,0.934198733,1
294,genre's,11,4.818181818,0.404519917,1
295,grate,11,4.818181818,0.404519917,1
296,ha,11,4.545454545,0.687551651,1
297,hometown,11,4.636363636,0.504524979,1
298,invention,11,4.727272727,0.467099366,1
299,john,11,4.909090909,0.301511345,1
301,perks,11,4.818181818,0.404519917,1
303,reject,11,4.636363636,0.504524979,1
305,superb,11,4.909090909,0.301511345,1
306,thumb,11,4.727272727,0.467099366,1
307,tongue,11,4.727272727,0.646669791,1
