"","word","Stars","frequency","avg_rating","avg_stdev"
"43","s5",1,7,1.85714285714286,0.690065559342354
"44","adore",5,9,4.66666666666667,0.707106781186547
"45","love",5,8170,4.82447980416157,0.567438146054888
"46","easy",5,1286,4.68662519440124,0.72246333546042
"47","fantastic",5,179,4.88268156424581,0.511311998516319
"48","love",4,8170,4.82447980416157,0.567438146054888
"49","listen",4,4298,4.56956724057701,0.957279156050157
"50","live",4,247,4.54251012145749,0.986295614677105
"51","love",4,8170,4.82447980416157,0.567438146054888
"52","listen",4,4298,4.56956724057701,0.957279156050157
"53","radio",4,1961,4.57368689444161,0.956076763353809
"54","love",5,8170,4.82447980416157,0.567438146054888
"55","listen",5,4298,4.56956724057701,0.957279156050157
"56","listen",2,4298,4.56956724057701,0.957279156050157
"57","listen",2,4298,4.56956724057701,0.957279156050157
"58","ear",5,41,4.65853658536585,0.728345937640932
"59","love",5,8170,4.82447980416157,0.567438146054888
"60","listen",5,4298,4.56956724057701,0.957279156050157
"61","incredible",5,28,4.82142857142857,0.611832186419302
"62","rock",5,244,4.59426229508197,0.927033338977948
"63","nice",4,678,4.42035398230088,0.880780433982633
"64","mix",4,154,4.47402597402597,0.978180597009924
"65","cool",4,389,4.62724935732648,0.797791986447625
"66","love",5,8170,4.82447980416157,0.567438146054888
"67","love",5,8170,4.82447980416157,0.567438146054888
"68","unusable",1,15,1.2,0.414039335605413
"69","wipe",1,8,1.25,0.707106781186548
"70","happy",1,560,4.61071428571429,0.948716970228097
"71","listen",1,4298,4.56956724057701,0.957279156050157
"72","seamlessly",4,10,4.8,0.421637021355784
"73","happy",4,560,4.61071428571429,0.948716970228097
"74","alright",3,23,3.43478260869565,0.945135245565981
"75","listen",5,4298,4.56956724057701,0.957279156050157
"76","radio",5,1961,4.57368689444161,0.956076763353809
"77","sooo",5,11,4.90909090909091,0.301511344577764
"78","listen",5,4298,4.56956724057701,0.957279156050157
"79","radio",5,1961,4.57368689444161,0.956076763353809
"80","love",5,8170,4.82447980416157,0.567438146054888
"81","love",5,8170,4.82447980416157,0.567438146054888
"82","love",5,8170,4.82447980416157,0.567438146054888
"83","home",5,231,4.58441558441558,0.995869504511985
"84","hook",5,37,4.7027027027027,0.811886173770165
"85","speaker",5,60,4.71666666666667,0.64022418389945
"86","listen",5,4298,4.56956724057701,0.957279156050157
"87","cook",5,20,4.85,0.366347548532523
"88","love",5,8170,4.82447980416157,0.567438146054888
"89","nice",4,678,4.42035398230088,0.880780433982633
"90","surprise",4,54,4.62962962962963,0.734494982355578
"91","selection",4,932,4.3980686695279,0.996942976931813
"92","happy",5,560,4.61071428571429,0.948716970228097
"93","listen",5,4298,4.56956724057701,0.957279156050157
"94","love",5,8170,4.82447980416157,0.567438146054888
"95","love",5,8170,4.82447980416157,0.567438146054888
"96","listen",5,4298,4.56956724057701,0.957279156050157
"97","listen",5,4298,4.56956724057701,0.957279156050157
"98","love",5,8170,4.82447980416157,0.567438146054888
"99","love",5,8170,4.82447980416157,0.567438146054888
"100","glitchy",2,11,1.81818181818182,0.981649817214043
"101","easy",5,1286,4.68662519440124,0.72246333546042
"102","love",5,8170,4.82447980416157,0.567438146054888
"103","easy",5,1286,4.68662519440124,0.72246333546042
"104","tune",5,196,4.48979591836735,0.98963757115404
"105","selection",5,932,4.3980686695279,0.996942976931813
