"Lemma" "Source"
"389" "acetabulum" "acetabulums"
"390" "acetal" "acetals"
"391" "acetate" "acetates"
"392" "acetazolamide" "acetazolamides"
"393" "acetone" "acetones"
"394" "acetyl" "acetyls"
"395" "acetylation" "acetylations"
"396" "acetylcholine" "acetylcholines"
"397" "acetylcholinesterase" "acetylcholinesterases"
"398" "acetylene" "acetylenes"
"399" "ache" "ached"
"400" "ache" "aches"
"401" "ache" "aching"
"402" "achieve" "achieved"
"403" "achieve" "achieves"
"404" "achieve" "achieving"
"405" "achievement" "achievements"
"406" "achiever" "achievers"
"407" "achromat" "achromats"
"408" "acid" "acids"
"409" "acidification" "acidifications"
"410" "acidify" "acidified"
"411" "acidify" "acidifies"
"412" "acidify" "acidifying"
"413" "acidity" "acidities"
"414" "acidosis" "acidoses"
"415" "ack" "acks"
"416" "acknowledge" "acknowledged"
"417" "acknowledge" "acknowledges"
"418" "acknowledge" "acknowledging"
"419" "acknowledgement" "acknowledgements"
"420" "acknowledgment" "acknowledgments"
"421" "acne" "acnes"
"422" "acolyte" "acolytes"
"423" "aconite" "aconites"
"424" "acorn" "acorns"
"425" "acoustic" "acoustics"
"426" "acoustician" "acousticians"
"427" "acquaint" "acquainted"
"428" "acquaint" "acquainting"
"429" "acquaint" "acquaints"
"430" "acquaintance" "acquaintances"
"431" "acquaintanceship" "acquaintanceships"
"432" "acquiesce" "acquiesced"
"433" "acquiesce" "acquiesces"
"434" "acquiesce" "acquiescing"
"435" "acquiescence" "acquiescences"
"436" "acquire" "acquired"
"437" "acquire" "acquires"
"438" "acquire" "acquiring"
"439" "acquirement" "acquirements"
"440" "acquisition" "acquisitions"
"441" "acquit" "acquits"
"442" "acquit" "acquitted"
"443" "acquit" "acquitting"
"444" "acquittal" "acquittals"
"445" "acre" "acres"
"446" "acreage" "acreages"
"447" "acrobat" "acrobats"
"448" "acrobatic" "acrobatics"
"449" "acromegaly" "acromegalies"
"450" "acronym" "acronyms"
"451" "acrostic" "acrostics"
"452" "acrylamide" "acrylamides"
"453" "acrylic" "acrylics"
"454" "act" "acted"
"455" "act" "acting"
"456" "act" "acts"
"457" "actin" "actins"
"458" "acting" "actings"
"459" "action" "actioned"
"460" "action" "actioning"
"461" "action" "actions"
"462" "activate" "activated"
"463" "activate" "activates"
"464" "activate" "activating"
"465" "activation" "activations"
"466" "activator" "activators"
"467" "active" "actives"
"468" "activist" "activists"
"469" "activity" "activities"
"470" "actor" "actors"
"471" "actress" "actresses"
"472" "actualisation" "actualisations"
"473" "actualise" "actualised"
"474" "actualise" "actualises"
"475" "actualise" "actualising"
"476" "actuality" "actualities"
"477" "actualization" "actualizations"
"478" "actualize" "actualized"
"479" "actualize" "actualizes"
"480" "actualize" "actualizing"
"481" "actuary" "actuaries"
"482" "actuate" "actuated"
"483" "actuate" "actuates"
"484" "actuate" "actuating"
"485" "actuation" "actuations"
"486" "actuator" "actuators"
"487" "acuity" "acuities"
"488" "acumen" "acumens"
"489" "acupoint" "acupoints"
"490" "acupuncture" "acupunctures"
"491" "acupuncturist" "acupuncturists"
"492" "acute" "acuter"
"493" "acute" "acutest"
"494" "acuteness" "acutenesses"
"495" "acyl" "acyls"
"496" "ad" "ads"
"497" "adage" "adages"
"498" "adapt" "adapted"
"499" "adapt" "adapting"
"500" "adapt" "adapts"
"501" "adaptability" "adaptabilities"
"502" "adaptation" "adaptations"
"503" "adapter" "adapters"
"504" "adaption" "adaptions"
"505" "adaptogen" "adaptogens"
"506" "adaptor" "adaptors"
"507" "add" "added"
"508" "add" "adding"
"509" "add" "adds"
"510" "addendum" "addenda"
"511" "addendum" "addendums"
"512" "adder" "adders"
"513" "addict" "addicted"
"514" "addict" "addicting"
"515" "addict" "addicts"
"516" "addiction" "addictions"
"517" "adding-machine" "adding-machines"
"518" "addition" "additions"
"519" "additive" "additives"
"520" "addle" "addled"
"521" "addle" "addles"
"522" "addle" "addling"
"523" "add-on" "add-ons"
"524" "address" "addressed"
"525" "address" "addresses"
"526" "address" "addressing"
"527" "addressee" "addressees"
"528" "adduce" "adduced"
"529" "adduce" "adduces"
"530" "adduce" "adducing"
"531" "adduct" "adducted"
"532" "adduct" "adducting"
"533" "adduct" "adducts"
"534" "adductor" "adductors"
"535" "ade" "ades"
